# Generated from ../data/13JUL2013/024.dat
time T_s gyro_x steer v
21 4.51059 0.1439 -0.0958186 0.949946
21.005 4.51059 0.127155 -0.0970752 0.948379
21.01 4.51059 0.0861203 -0.0977035 0.947241
21.015 4.51059 0.033003 -0.0967611 0.956695
21.02 2.82214 -0.0394229 -0.0951903 0.950552
21.025 0.314727 -0.0684994 -0.0942478 0.948821
21.03 -1.85199 -0.0833076 -0.0951903 0.947562
21.035 -4.03673 -0.107236 -0.098646 0.946643
21.04 -4.51059 -0.057768 -0.098646 0.945976
21.045 -4.33816 -0.0313805 -0.0999026 0.955773
21.05 -3.34475 0.0134036 -0.102102 0.949881
21.055 -1.52071 0.0638541 -0.104929 0.948332
21.06 1.23496 0.127933 -0.107128 0.947206
21.065 3.7914 0.150395 -0.103987 0.946383
21.07 4.51059 0.143134 -0.103987 0.945787
21.075 4.51059 0.131073 -0.104929 0.945349
21.08 4.51059 0.11694 -0.105243 0.945033
21.085 4.51059 0.0620345 -0.103987 0.944801
21.09 4.23131 -0.0236313 -0.101788 0.944634
21.095 1.44899 -0.0613281 -0.098646 0.954796
21.1 -1.07676 -0.0870011 -0.0977035 0.949168
21.105 -3.4609 -0.108339 -0.101473 0.947813
21.11 -4.07981 -0.0574592 -0.101159 0.946828
21.115 -4.36585 -0.0500843 -0.100845 0.956394
21.12 -3.68657 -0.00374113 -0.102102 0.950333
21.125 -1.85911 0.056883 -0.103987 0.948662
21.13 0.936 0.122683 -0.105558 0.947446
21.135 3.68395 0.152177 -0.101473 0.946558
21.14 4.51059 0.135112 -0.100845 0.945914
21.145 4.51059 0.133475 -0.101473 0.945442
21.15 4.51059 0.120416 -0.101159 0.945101
21.155 4.51059 0.0780979 -0.0992743 0.94485
21.16 4.51059 -0.0114059 -0.0964469 0.944669
21.165 2.10877 -0.0653501 -0.0923628 0.944536
21.17 -0.714184 -0.0952059 -0.090792 0.94444
21.175 -3.51634 -0.126536 -0.0933053 0.944369
21.18 -4.28102 -0.0693115 -0.092677 0.944319
21.185 -4.51059 -0.0660261 -0.0923628 0.94428
21.19 -4.51059 -0.0289675 -0.092677 0.933968
21.195 -2.63522 0.0446245 -0.0942478 0.939486
21.2 0.313746 0.114976 -0.0955044 0.940762
21.205 3.14906 0.144409 -0.0917345 0.941689
21.21 4.51059 0.147713 -0.0901637 0.932081
21.215 4.51059 0.14713 -0.0904779 0.938111
21.22 4.51059 0.130057 -0.0901637 0.93976
21.225 4.51059 0.10652 -0.0882788 0.940959
21.23 4.51059 0.0159206 -0.0854513 0.941835
21.235 3.8009 -0.0566969 -0.0816814 0.932185
21.24 0.567226 -0.0944278 -0.0775973 0.938189
21.245 -2.99664 -0.148905 -0.0772832 0.939815
21.25 -4.16664 -0.0852838 -0.0807389 0.941001
21.255 -4.40367 -0.054113 -0.0782257 0.931577
21.26 -4.51059 -0.0513808 -0.0782257 0.937747
21.265 -3.77523 -0.0106466 -0.0794823 0.939493
21.27 -0.6966 0.102131 -0.0810531 0.940767
21.275 2.79221 0.157529 -0.0807389 0.941692
21.28 4.51059 0.138543 -0.0750841 0.932083
21.285 4.51059 0.153317 -0.0750841 0.938113
21.29 4.51059 0.121948 -0.0747699 0.939762
21.295 4.51059 0.117452 -0.0722566 0.94096
21.3 4.51059 0.0475721 -0.0694292 0.931549
21.305 4.51059 -0.0447086 -0.065031 0.937724
21.31 1.55828 -0.0961423 -0.0600044 0.939479
21.315 -2.17908 -0.150962 -0.057177 0.940754
21.32 -4.40058 -0.127617 -0.0609469 0.941686
21.325 -4.51059 -0.0867112 -0.0587478 0.932076
21.33 -4.51059 -0.0631354 -0.0578053 0.93811
21.335 -4.51059 -0.0551843 -0.0581195 0.939757
21.34 -2.56523 0.0629239 -0.0600044 0.940959
21.345 1.22668 0.142726 -0.0612611 0.931547
21.35 4.51059 0.165166 -0.0556062 0.937724
21.355 4.51059 0.160388 -0.0540354 0.939476
21.36 4.51059 0.144602 -0.0537212 0.940755
21.365 4.51059 0.121983 -0.0521504 0.941684
21.37 4.51059 0.0645668 -0.0490088 0.932077
21.375 4.51059 -0.00482223 -0.0446106 0.938108
21.38 2.88803 -0.107242 -0.0395841 0.939758
21.385 -1.22757 -0.156439 -0.0355 0.930672
21.39 -3.96196 -0.141574 -0.0389557 0.926801
21.395 -4.51059 -0.105196 -0.0380133 0.934265
21.4 -4.51059 -0.0855235 -0.0358142 0.936958
21.405 -4.51059 -0.0705188 -0.0361283 0.938918
21.41 -3.807 0.0207321 -0.0367566 0.940348
21.415 0.208574 0.132593 -0.0389557 0.931101
21.42 3.52427 0.147839 -0.0326726 0.9374
21.425 4.51059 0.169861 -0.0307876 0.93924
21.43 4.51059 0.132796 -0.0314159 0.930296
