# Generated from ../data/13JUL2013/000.dat
time hw_button steer steer_est v v_c
22.84 1 -0.00628319 -0.00528933 1.85213 2
22.86 1 -0.00659734 -0.00546056 1.85346 2
22.88 1 -0.00659734 -0.0051619 1.85858 2
22.9 1 -0.00628319 -0.00494437 1.86002 2
22.92 1 -0.00628319 -0.00502547 1.86389 2
22.94 1 -0.00628319 -0.00480887 1.86497 2
22.96 1 -0.00628319 -0.00462661 1.87003 2
22.98 1 -0.00659734 -0.00489357 1.8808 2
23 1 -0.00659734 -0.00488903 1.88277 2
23.02 1 -0.00659734 -0.00476699 1.87952 2
23.04 1 -0.00628319 -0.0047584 1.8786 2
23.06 1 -0.00628319 -0.00454822 1.87186 2
23.08 1 -0.00628319 -0.00425762 1.87657 2
23.1 1 -0.00596903 -0.00421102 1.88504 2
23.12 1 -0.00565487 -0.00384581 1.8849 2
23.14 1 -0.00534071 -0.00315085 1.88738 2
23.16 1 -0.00534071 -0.00284612 1.88808 2
23.18 1 -0.00502655 -0.00257688 1.8908 2
23.2 1 -0.00439823 -0.00160098 1.90408 2
23.22 1 -0.00376991 -0.000806048 1.89899 2
23.24 1 -0.00314159 -0.000427922 1.90416 2
23.26 1 -0.00282743 -3.90367e-05 1.91621 2
23.28 1 -0.00282743 8.91949e-06 1.91615 2
23.3 1 -0.00251327 -0.000101324 1.91016 2
23.32 1 -0.00219911 0.000183669 1.91444 2
23.34 1 -0.00219911 0.000612615 1.90314 2
23.36 1 -0.00219911 0.000713452 1.90626 2
23.38 1 -0.00188496 0.000876648 1.91083 2
23.4 1 -0.000942478 0.00166914 1.90643 2
23.42 1 -0.000314159 0.0024718 1.90059 2
23.44 1 0 0.00286598 1.91627 2
23.46 1 0 0.0028397 1.91365 2
23.48 1 0 0.00270571 1.91197 2
23.5 1 0.000628319 0.00284181 1.91021 2
23.52 1 0.000942478 0.00306328 1.90072 2
23.54 1 0.000942478 0.00323836 1.90558 2
23.56 1 0.000942478 0.00332175 1.90718 2
23.58 1 0.000628319 0.00308059 1.90886 2
23.6 1 0.000314159 0.00250266 1.90379 2
23.62 1 0.000628319 0.00211136 1.91846 2
23.64 1 0.000628319 0.00207971 1.92707 2
23.66 1 0.000628319 0.00218104 1.9134 2
23.68 1 0.000314159 0.00214638 1.91536 2
23.7 1 0.000314159 0.00204307 1.91591 2
23.72 1 0.000628319 0.00210755 1.91009 2
23.74 1 0.000942478 0.00262135 1.90967 2
23.76 1 0.000942478 0.00271527 1.90401 2
23.78 1 0.000628319 0.00219231 1.90902 2
23.8 1 0.000628319 0.00210345 1.9244 2
23.82 1 0.000942478 0.00247351 1.91264 2
23.84 1 0.000628319 0.00231082 1.90485 2
23.86 1 0.000628319 0.00237393 1.91876 2
23.88 1 0.000628319 0.00268282 1.91687 2
23.9 1 0.000628319 0.00266014 1.91634 2
23.92 1 0.000314159 0.00231227 1.91964 2
23.94 1 0.000628319 0.00231264 1.93215 2
23.96 1 0.000628319 0.00246773 1.91958 2
23.98 1 0.000628319 0.00277322 1.91962 2
24 1 0.000314159 0.00294168 1.92186 2
24.02 1 0.000628319 0.00282457 1.92803 2
24.04 1 0.00125664 0.00321291 1.92094 2
24.06 1 0.00188496 0.00412134 1.92569 2
24.08 1 0.00188496 0.00433404 1.93637 2
24.1 1 0.00188496 0.00430151 1.92803 2
24.12 1 0.00219911 0.00458869 1.9302 2
24.14 1 0.00219911 0.00474666 1.9411 2
24.16 1 0.00219911 0.00455595 1.92937 2
24.18 1 0.00251327 0.00465297 1.94087 2
24.2 1 0.00282743 0.00516875 1.94304 2
24.22 1 0.00282743 0.00561344 1.94366 2
24.24 1 0.00282743 0.00585345 1.94132 2
24.26 1 0.00314159 0.00594049 1.94793 2
24.28 1 0.00345575 0.00631102 1.94504 2
24.3 1 0.00408407 0.00702718 1.94423 2
24.32 1 0.00408407 0.00737017 1.95428 2
24.34 1 0.00408407 0.00731735 1.94576 2
24.36 1 0.00439823 0.00735726 1.94442 2
24.38 1 0.00471239 0.00760726 1.94059 2
24.4 1 0.00471239 0.00774411 1.93268 2
24.42 1 0.00471239 0.00774135 1.93705 2
24.44 1 0.00502655 0.00794563 1.93851 2
24.46 1 0.00565487 0.00860776 1.93986 2
24.48 1 0.00596903 0.00916373 1.93801 2
24.5 1 0.00628319 0.00928587 1.94224 2
24.52 1 0.00659734 0.00968409 1.94343 2
24.54 1 0.0069115 0.0101941 1.93902 2
24.56 1 0.00659734 0.00992811 1.94252 2
24.58 1 0.00659734 0.00941056 1.94351 2
24.6 1 0.0069115 0.00929078 1.9335 2
24.62 1 0.00659734 0.00891603 1.95232 2
24.64 1 0.00596903 0.00787679 1.94866 2
24.66 1 0.00534071 0.00700034 1.94524 2
24.68 1 0.00502655 0.00645577 1.94679 2
24.7 1 0.00471239 0.00596597 1.94946 2
24.72 1 0.00471239 0.00568493 1.94546 2
24.74 1 0.00408407 0.00521937 1.9478 2
24.76 1 0.00376991 0.00466865 1.94845 2
24.78 1 0.00376991 0.00435754 1.95547 2
24.8 1 0.00345575 0.00409847 1.95084 2
24.82 1 0.00345575 0.00371051 1.9506 2
24.84 1 0.00345575 0.00366111 1.94924 2
24.86 1 0.00282743 0.00350134 1.9454 2
24.88 1 0.00251327 0.00302889 1.95461 2
24.9 1 0.00219911 0.00262085 1.9634 2
24.92 1 0.00188496 0.00240289 1.95308 2
24.94 1 0.00188496 0.00250289 1.95469 2
24.96 1 0.0015708 0.00252458 1.98298 2
24.98 1 0.000942478 0.00208675 1.9635 2
25 1 0.000628319 0.00162777 1.98072 2
25.02 1 0.000314159 0.00137654 1.9779 2
25.04 1 -0.000314159 0.000800621 1.98846 2
25.06 1 -0.000942478 2.64163e-05 1.97533 2
25.08 1 -0.0015708 -0.000400131 1.97745 2
25.1 1 -0.00188496 -0.000707992 1.98358 2
25.12 1 -0.00219911 -0.00115888 1.98899 2
25.14 1 -0.00251327 -0.00151089 1.98829 2
25.16 1 -0.00282743 -0.00203625 1.9963 2
25.18 1 -0.00345575 -0.00265362 2.0033 2
25.2 1 -0.00408407 -0.00319796 1.99232 2
25.22 1 -0.00471239 -0.00383182 1.99743 2
25.24 1 -0.00471239 -0.00408651 2.00139 2
25.26 1 -0.00471239 -0.00397683 1.99747 2
25.28 1 -0.00502655 -0.00400747 1.9929 2
25.3 1 -0.00565487 -0.00448209 1.9976 2
25.32 1 -0.00565487 -0.00461834 1.98388 2
25.34 1 -0.00565487 -0.00438736 1.99612 2
25.36 1 -0.00565487 -0.00416914 2.00879 2
25.38 1 -0.00596903 -0.00429751 2.03231 2
25.4 1 -0.00596903 -0.00434689 2.02758 2
25.42 1 -0.00596903 -0.00438758 2.02731 2
25.44 1 -0.00628319 -0.00481146 2.04227 2
25.46 1 -0.00628319 -0.00542528 2.03039 2
25.48 1 -0.00628319 -0.00551056 2.02335 2
25.5 1 -0.0069115 -0.00556915 2.02612 2
25.52 1 -0.00753982 -0.00610674 2.0269 2
25.54 1 -0.00785398 -0.00666992 2.02237 2
25.56 1 -0.00753982 -0.00672463 2.02584 2
25.58 1 -0.00753982 -0.00663787 2.02682 2
25.6 1 -0.00753982 -0.00649785 2.02235 2
25.62 1 -0.00785398 -0.00653609 2.02584 2
25.64 1 -0.00816814 -0.00678725 2.02682 2
25.66 1 -0.00816814 -0.00715147 2.01206 2
25.68 1 -0.0084823 -0.00751491 2.024 2
25.7 1 -0.0084823 -0.00796843 2.02976 2
25.72 1 -0.00911062 -0.00851957 2.02793 2
25.74 1 -0.00973894 -0.00918833 2.02741 2
25.76 1 -0.0103673 -0.00995075 2.03547 2
25.78 1 -0.0109956 -0.0107511 2.02953 2
25.8 1 -0.0109956 -0.0110071 2.03132 2
25.82 1 -0.0113097 -0.0111102 2.03865 2
25.84 1 -0.0122522 -0.0118266 2.04009 2
25.86 1 -0.0128805 -0.0125921 2.04587 2
25.88 1 -0.0125664 -0.0125427 2.03392 2
25.9 1 -0.0128805 -0.0126447 2.03256 2
25.92 1 -0.0135088 -0.0133688 2.01022 2
25.94 1 -0.013823 -0.0135383 2.01751 2
25.96 1 -0.013823 -0.0131967 2.00598 2
25.98 1 -0.0141372 -0.0131666 2.00128 2
26 1 -0.0141372 -0.0132085 2.00816 2
26.02 1 -0.0141372 -0.0130319 2.00787 2
26.04 1 -0.0144513 -0.0131106 2.00181 2
26.06 1 -0.0147655 -0.0135832 2.01636 2
26.08 1 -0.0150796 -0.0140778 2.00565 2
26.1 1 -0.0150796 -0.0140175 2.00592 2
26.12 1 -0.0150796 -0.0135852 2.00471 2
26.14 1 -0.0153938 -0.0134982 2.00091 2
26.16 1 -0.0153938 -0.01351 1.99733 2
26.18 1 -0.0144513 -0.0128445 2.00136 2
26.2 1 -0.0141372 -0.0120589 1.99652 2
26.22 1 -0.0144513 -0.012334 2.00682 2
26.24 1 -0.0147655 -0.0129856 2.0118 2
26.26 1 -0.0144513 -0.012668 2.00186 2
26.28 1 -0.0135088 -0.0116851 2.00012 2
26.3 1 -0.0131947 -0.0110155 1.98934 2
